Question,BLEU WITH,BLEU WITHOUT,ROUGE1 WITH,ROUGE1 WITHOUT,ROUGE2 WITH,ROUGE2 WITHOUT,ROUGEL WITH,ROUGEL WITHOUT,METEOR WITH,METEOR WITHOUT,BERTScore WITH,BERTScore WITHOUT,Retrieval WITH,Retrieval WITHOUT,Generation WITH,Generation WITHOUT,Total WITH,Total WITHOUT
What is breast cancer?,0.3604694061001693,0.5444950088883689,0.0396039603960396,0.03888888888888889,0.009950248756218907,0.016759776536312852,0.03465346534653465,0.03888888888888889,0.08230452674897121,0.10540479928235032,0.8184909820556641,0.8194273710250854,5.5911548137664795,2.5871124267578125,24.543450832366943,17.069406032562256,31.774760961532593,20.043018102645874
What are the common symptoms of lung cancer?,2.4634407594914673,4.093831524132545,0.1056338028169014,0.23423423423423423,0.04964539007092199,0.09174311926605504,0.09154929577464788,0.1981981981981982,0.1984730062237661,0.27581399980085636,0.8480619192123413,0.8666984438896179,4.237930059432983,0.41989612579345703,13.513284921646118,6.2015674114227295,18.936145782470703,6.915426969528198
What is chemotherapy?,0.8004997953161956,0.815510308587032,0.10156250000000001,0.13274336283185842,0.031496062992125984,0.026785714285714284,0.078125,0.09734513274336283,0.1354679802955665,0.2952380952380953,0.8351564407348633,0.8414164781570435,3.290475368499756,0.3615550994873047,12.712119817733765,10.730566024780273,17.187824487686157,11.442609310150146
What is immunotherapy?,0.6814603582254701,0.6525782140122732,0.0634920634920635,0.09395973154362415,0.04100227790432802,0.033783783783783786,0.0634920634920635,0.06711409395973154,0.1548968295805407,0.19052111025355173,0.8485321402549744,0.8451470136642456,3.6466989517211914,0.3806314468383789,21.93099045753479,14.590209484100342,26.761322021484375,15.333008766174316
What is metastasis?,4.313272046948118,2.038073028291395,0.11683848797250858,0.11846689895470383,0.10380622837370242,0.09122807017543859,0.1099656357388316,0.09059233449477351,0.3703236311825769,0.26732841038812793,0.8649082779884338,0.8469638824462891,2.711520195007324,0.3946359157562256,12.498286962509155,13.594155073165894,15.702049016952515,14.366000175476074
